;UG;LOC;DA;TTAEF;TTAEM;TTREF;TTREM;TTABEF;TTABEM
235;Maranhão;Urbana;Federal;97,7;83,5;1,0;14,4;1,3;2,1
236;Maranhão;Rural;Federal;100,0;74,7;0,0;20,0;0,0;5,3
237;Maranhão;Total;Estadual;94,6;92,4;2,7;2,0;2,7;5,6
238;Maranhão;Urbana;Estadual;97,1;92,5;1,4;2,1;1,5;5,4
239;Maranhão;Rural;Estadual;90,5;91,8;4,7;1,4;4,8;6,8
240;Maranhão;Total;Municipal;96,9;92,7;0,9;0,1;2,2;7,2
241;Maranhão;Urbana;Municipal;96,6;99,5;0,9;0,0;2,5;0,5
242;Maranhão;Rural;Municipal;97,3;84,4;0,9;0,3;1,8;15,3
243;Maranhão;Total;Privada;96,3;96,9;0,9;1,4;2,8;1,7
244;Maranhão;Urbana;Privada;96,3;97,5;0,9;1,5;2,8;1,0
245;Maranhão;Rural;Privada;96,8;90,5;0,8;0,3;2,4;9,2
246;Maranhão;Total;Pública;96,8;92,0;0,9;2,5;2,3;5,5
247;Maranhão;Urbana;Pública;96,6;92,2;0,9;2,5;2,5;5,3
248;Maranhão;Rural;Pública;97,1;90,8;1,0;2,3;1,9;6,9
249;Piauí;Total;Total;97,7;93,5;0,7;1,2;1,6;5,3
250;Piauí;Urbana;Total;97,5;93,7;0,7;1,2;1,8;5,1
251;Piauí;Rural;Total;98,1;90,2;0,6;2,0;1,3;7,8
252;Piauí;Total;Federal;;83,7;;14,3;;2,0
253;Piauí;Urbana;Federal;;83,5;;14,5;;2,0
254;Piauí;Rural;Federal;;85,6;;12,9;;1,5
255;Piauí;Total;Estadual;95,8;93,6;0,5;0,4;3,7;6,0
256;Piauí;Urbana;Estadual;95,8;93,8;0,5;0,3;3,7;5,9
257;Piauí;Rural;Estadual;95,2;90,5;0,4;1,0;4,4;8,5
258;Piauí;Total;Municipal;97,9;74,3;0,6;5,1;1,5;20,6
259;Piauí;Urbana;Municipal;97,8;72,0;0,7;5,9;1,5;22,1
260;Piauí;Rural;Municipal;98,1;88,2;0,6;0,0;1,3;11,8
261;Piauí;Total;Privada;97,2;98,3;1,1;1,0;1,7;0,7
262;Piauí;Urbana;Privada;97,2;98,3;1,1;1,0;1,7;0,7
263;Piauí;Rural;Privada;100,0;100,0;0,0;0,0;0,0;0,0
264;Piauí;Total;Pública;97,7;92,9;0,6;1,2;1,7;5,9
265;Piauí;Urbana;Pública;97,6;93,1;0,7;1,2;1,7;5,7
266;Piauí;Rural;Pública;98,1;90,1;0,6;2,0;1,3;7,9
267;Ceará;Total;Total;98,9;97,0;0,2;0,2;0,9;2,8
268;Ceará;Urbana;Total;98,7;97,0;0,2;0,2;1,1;2,8
269;Ceará;Rural;Total;99,7;97,3;0,1;0,6;0,2;2,1
270;Ceará;Total;Federal;99,8;80,9;0,2;14,4;0,0;4,7
271;Ceará;Urbana;Federal;99,8;82,6;0,2;13,4;0,0;4,0
272;Ceará;Rural;Federal;;66,4;;22,6;;11,0
273;Ceará;Total;Estadual;98,1;97,1;0,0;0,0;1,9;2,9
274;Ceará;Urbana;Estadual;97,8;97,0;0,0;0,0;2,2;3,0
275;Ceará;Rural;Estadual;99,2;98,2;0,0;0,0;0,8;1,8
276;Ceará;Total;Municipal;99,6;;0,1;;0,3;
277;Ceará;Urbana;Municipal;99,6;;0,1;;0,3;
278;Ceará;Rural;Municipal;99,7;;0,1;;0,2;
279;Ceará;Total;Privada;96,0;98,8;0,7;0,6;3,3;0,6
280;Ceará;Urbana;Privada;96,0;98,8;0,7;0,6;3,3;0,6
281;Ceará;Rural;Privada;98,3;86,3;0,4;0,0;1,3;13,7
282;Ceará;Total;Pública;99,6;96,8;0,1;0,2;0,3;3,0
283;Ceará;Urbana;Pública;99,6;96,8;0,1;0,2;0,3;3,0
284;Ceará;Rural;Pública;99,7;97,4;0,1;0,6;0,2;2,0
285;Rio Grande do Norte;Total;Total;97,9;98,4;0,5;1,0;1,6;0,6
286;Rio Grande do Norte;Urbana;Total;97,8;98,4;0,5;1,0;1,7;0,6
287;Rio Grande do Norte;Rural;Total;98,7;98,0;0,5;1,6;0,8;0,4
288;Rio Grande do Norte;Total;Federal;100,0;92,9;0,0;6,1;0,0;1,0
289;Rio Grande do Norte;Urbana;Federal;100,0;92,8;0,0;6,2;0,0;1,0
290;Rio Grande do Norte;Rural;Federal;;93,8;;5,6;;0,6
291;Rio Grande do Norte;Total;Estadual;99,6;99,3;0,2;0,3;0,2;0,4
292;Rio Grande do Norte;Urbana;Estadual;99,6;99,2;0,2;0,3;0,2;0,5
293;Rio Grande do Norte;Rural;Estadual;98,8;99,7;1,0;0,1;0,2;0,2
294;Rio Grande do Norte;Total;Municipal;98,8;;0,4;;0,8;
295;Rio Grande do Norte;Urbana;Municipal;98,9;;0,4;;0,7;
296;Rio Grande do Norte;Rural;Municipal;98,8;;0,5;;0,7;
297;Rio Grande do Norte;Total;Privada;94,1;97,4;1,2;1,1;4,7;1,5
298;Rio Grande do Norte;Urbana;Privada;94,1;97,4;1,2;1,1;4,7;1,5
299;Rio Grande do Norte;Rural;Privada;89,1;100,0;2,2;0,0;8,7;0,0
300;Rio Grande do Norte;Total;Pública;99,0;98,5;0,4;1,0;0,6;0,5
301;Rio Grande do Norte;Urbana;Pública;99,1;98,6;0,3;0,9;0,6;0,5
302;Rio Grande do Norte;Rural;Pública;98,8;98,0;0,5;1,7;0,7;0,3
303;Paraíba;Total;Total;97,0;97,1;0,5;0,5;2,5;2,4
304;Paraíba;Urbana;Total;96,9;97,0;0,4;0,5;2,7;2,5
305;Paraíba;Rural;Total;98,0;98,2;0,6;0,2;1,4;1,6
306;Paraíba;Total;Federal;;91,2;;7,5;;1,3
307;Paraíba;Urbana;Federal;;91,1;;7,7;;1,2
308;Paraíba;Rural;Federal;;95,7;;2,5;;1,8
309;Paraíba;Total;Estadual;99,2;97,2;0,0;0,1;0,8;2,7
310;Paraíba;Urbana;Estadual;99,2;97,2;0,0;0,1;0,8;2,7
311;Paraíba;Rural;Estadual;99,5;98,2;0,1;0,2;0,4;1,6
312;Paraíba;Total;Municipal;97,6;99,7;0,5;0,0;1,9;0,3
313;Paraíba;Urbana;Municipal;97,5;99,7;0,4;0,0;2,1;0,3
314;Paraíba;Rural;Municipal;97,9;;0,6;;1,5;
315;Paraíba;Total;Privada;93,6;98,0;0,9;0,6;5,5;1,4
316;Paraíba;Urbana;Privada;93,6;98,0;0,8;0,6;5,6;1,4
317;Paraíba;Rural;Privada;85,5;;9,8;;4,7;
318;Paraíba;Total;Pública;97,9;96,9;0,4;0,4;1,7;2,7
319;Paraíba;Urbana;Pública;97,8;96,9;0,3;0,5;1,9;2,6
320;Paraíba;Rural;Pública;98,1;98,2;0,6;0,2;1,3;1,6
321;Pernambuco;Total;Total;98,3;98,8;0,4;0,9;1,3;0,3
322;Pernambuco;Urbana;Total;98,0;98,9;0,4;0,8;1,6;0,3
323;Pernambuco;Rural;Total;99,6;96,7;0,2;2,4;0,2;0,9
324;Pernambuco;Total;Federal;99,9;79,8;0,1;15,3;0,0;4,9
325;Pernambuco;Urbana;Federal;99,9;80,0;0,1;14,0;0,0;6,0
326;Pernambuco;Rural;Federal;;79,4;;19,5;;1,1
327;Pernambuco;Total;Estadual;99,8;99,3;0,1;0,5;0,1;0,2
328;Pernambuco;Urbana;Estadual;99,9;99,4;0,1;0,5;0,0;0,1
329;Pernambuco;Rural;Estadual;99,5;98,4;0,1;0,7;0,4;0,9
330;Pernambuco;Total;Municipal;99,8;96,9;0,1;0,0;0,1;3,1
331;Pernambuco;Urbana;Municipal;99,8;92,9;0,1;0,0;0,1;7,1
332;Pernambuco;Rural;Municipal;99,7;100,0;0,1;0,0;0,2;0,0
333;Pernambuco;Total;Privada;93,5;98,6;1,3;0,6;5,2;0,8
334;Pernambuco;Urbana;Privada;93,5;98,6;1,3;0,6;5,2;0,8
335;Pernambuco;Rural;Privada;92,4;98,9;5,3;1,1;2,3;0,0
336;Pernambuco;Total;Pública;99,8;98,8;0,1;0,9;0,1;0,3
337;Pernambuco;Urbana;Pública;99,8;98,9;0,1;0,8;0,1;0,3
338;Pernambuco;Rural;Pública;99,7;96,6;0,1;2,4;0,2;1,0
339;Alagoas;Total;Total;98,6;99,2;0,3;0,3;1,1;0,5
340;Alagoas;Urbana;Total;98,4;99,2;0,3;0,3;1,3;0,5
341;Alagoas;Rural;Total;99,3;99,7;0,2;0,1;0,5;0,2
342;Alagoas;Total;Federal;;87,0;;9,4;;3,6
343;Alagoas;Urbana;Federal;;87,0;;9,4;;3,6
